source,target,occupation,level
aisha.opra,nahimana.ally.5,others,0
aisha.opra,mpahwenimana.zuwena,others,0
aisha.opra,sahabi.ila.5,others,0
aisha.opra,Janaty Siradji|100030686084658,others,0
aisha.opra,jojo.criss.54,others,0
aisha.opra,mugisha.akim.7,others,0
aisha.opra,hamza.adamou.378537,others,0
aisha.opra,rahma.wabilali.7,others,0
aisha.opra,esoka.vanessa.12,others,0
aisha.opra,salum.saidi.7927,others,0
aisha.opra,ishausalaha.ishausalaha,others,0
aisha.opra,chehou.riodedjanero,others,0
aisha.opra,yussuf.ayush,others,0
aisha.opra,ndayishimiye.alidi,others,0
aisha.opra,rukia.ramadhani.165,others,0
aisha.opra,abdoulnasour.soumaila,others,0
aisha.opra,zizi.dadjou,others,0
aisha.opra,dawi.dawi.52090,others,0
aisha.opra,havey.singuran,others,0
aisha.opra,lilibinth.inbox,others,0
aisha.opra,ashura.yussuf.75218033,others,0
aisha.opra,ally.kabonge.75,others,0
aisha.opra,sallah.ndizeye,others,0
aisha.opra,basi.anna.7,others,0
aisha.opra,aisetu.abdoulikarim.3,others,0
aisha.opra,abdallah.anfara,others,0
aisha.opra,aisetu.abdoulikarim,others,0
aisha.opra,riziki.khamissi,others,0
aisha.opra,nahimana.asha.14,others,0
aisha.opra,faty.ashlaksh,others,0
aisha.opra,malkiya.balkiss.3,others,0
aisha.opra,ilakoze.alima,others,0
aisha.opra,Mona Ali Ahmd|100027377115197,others,0
aisha.opra,zawadi.umutoni.9,others,0
aisha.opra,ndikumwenayomethode.butike,others,0
aisha.opra,aishwaria.mendez,others,0
aisha.opra,zuwena.yusufu.35,others,0
aisha.opra,nzeyimana.djohari,others,0
aisha.opra,nunu.lontanaluchana,others,0
aisha.opra,ouattara.mariam.79274089,others,0
aisha.opra,djata.sylla.79,others,0
aisha.opra,callixte.irungura.1,others,0
aisha.opra,abasi.bayaganakandi,others,0
aisha.opra,claudeelgwarudo.ndacayisaba,others,0
aisha.opra,jeanretty.irakoze.73,others,0
aisha.opra,jonathan.nkengurutse.1,others,0
aisha.opra,lidyaElisa00,others,0
aisha.opra,mapesa.tz.39,others,0
aisha.opra,kidres.akbar,others,0
aisha.opra,bourama.konate.1069,others,0
aisha.opra,Adams Danger|100027035859013,others,0
aisha.opra,elvis.ndikumana.96,others,0
aisha.opra,cabdullaahi.aadan.50,others,0
aisha.opra,niyikigongwe.niyikigongwefleury,others,0
aisha.opra,karimu.jade,others,0
